Episode,Reward
0,42.0
1,21.0
2,16.0
3,9.0
4,57.0
5,23.0
6,18.0
7,25.0
8,27.0
9,14.0
10,42.0
11,39.0
12,12.0
13,51.0
14,10.0
15,74.0
16,22.0
17,33.0
18,14.0
19,32.0
20,11.0
21,10.0
22,28.0
23,26.0
24,13.0
25,18.0
26,28.0
27,19.0
28,34.0
29,20.0
30,31.0
31,18.0
32,29.0
33,18.0
34,33.0
35,11.0
36,25.0
37,22.0
38,10.0
39,23.0
40,17.0
41,21.0
42,18.0
43,20.0
44,10.0
45,18.0
46,44.0
47,34.0
48,25.0
49,12.0
50,19.0
51,14.0
52,48.0
53,25.0
54,21.0
55,35.0
56,24.0
57,66.0
58,61.0
59,17.0
60,16.0
61,11.0
62,11.0
63,26.0
64,24.0
65,22.0
66,34.0
67,14.0
68,24.0
69,31.0
70,12.0
71,25.0
72,12.0
73,46.0
74,19.0
75,12.0
76,23.0
77,12.0
78,40.0
79,21.0
80,19.0
81,48.0
82,19.0
83,32.0
84,19.0
85,63.0
86,33.0
87,11.0
88,17.0
89,18.0
90,20.0
91,30.0
92,21.0
93,22.0
94,10.0
95,23.0
96,24.0
97,22.0
98,20.0
99,13.0
100,28.0
101,39.0
102,38.0
103,18.0
104,13.0
105,26.0
106,73.0
107,21.0
108,17.0
109,15.0
110,14.0
111,37.0
112,14.0
113,16.0
114,23.0
115,41.0
116,18.0
117,16.0
118,21.0
119,44.0
120,21.0
121,49.0
122,26.0
123,14.0
124,22.0
125,53.0
126,14.0
127,25.0
128,27.0
129,21.0
130,16.0
131,44.0
132,30.0
133,16.0
134,40.0
135,11.0
136,10.0
137,14.0
138,19.0
139,13.0
140,23.0
141,20.0
142,33.0
143,52.0
144,22.0
145,25.0
146,25.0
147,16.0
148,16.0
149,14.0
150,44.0
151,41.0
152,14.0
153,62.0
154,24.0
155,19.0
156,13.0
157,10.0
158,18.0
159,18.0
160,19.0
161,15.0
162,33.0
163,44.0
164,35.0
165,55.0
166,17.0
167,13.0
168,14.0
169,18.0
170,16.0
171,52.0
172,88.0
173,27.0
174,62.0
175,28.0
176,17.0
177,16.0
178,15.0
179,24.0
180,16.0
181,16.0
182,29.0
183,13.0
184,23.0
185,18.0
186,19.0
187,10.0
188,16.0
189,17.0
190,18.0
191,10.0
192,20.0
193,38.0
194,18.0
195,17.0
196,20.0
197,23.0
198,26.0
199,23.0
200,27.0
201,13.0
202,30.0
203,30.0
204,38.0
205,41.0
206,32.0
207,13.0
208,41.0
209,13.0
210,18.0
211,21.0
212,20.0
213,29.0
214,31.0
215,18.0
216,12.0
217,17.0
218,16.0
219,21.0
220,21.0
221,16.0
222,11.0
223,23.0
224,15.0
225,34.0
226,11.0
227,19.0
228,14.0
229,20.0
230,26.0
231,16.0
232,23.0
233,17.0
234,9.0
235,15.0
236,56.0
237,23.0
238,13.0
239,19.0
240,12.0
241,13.0
242,46.0
243,22.0
244,10.0
245,13.0
246,42.0
247,14.0
248,31.0
249,21.0
250,14.0
251,17.0
252,27.0
253,26.0
254,28.0
255,19.0
256,20.0
257,12.0
258,35.0
259,28.0
260,21.0
261,53.0
262,31.0
263,19.0
264,34.0
265,20.0
266,27.0
267,26.0
268,19.0
269,16.0
270,13.0
271,14.0
272,16.0
273,24.0
274,15.0
275,27.0
276,34.0
277,31.0
278,17.0
279,22.0
280,13.0
281,21.0
282,41.0
283,15.0
284,19.0
285,13.0
286,64.0
287,22.0
288,31.0
289,80.0
290,44.0
291,24.0
292,29.0
293,21.0
294,17.0
295,32.0
296,22.0
297,24.0
298,16.0
299,25.0
300,15.0
301,37.0
302,15.0
303,9.0
304,23.0
305,35.0
306,82.0
307,45.0
308,49.0
309,19.0
310,26.0
311,13.0
312,13.0
313,32.0
314,20.0
315,16.0
316,27.0
317,22.0
318,18.0
319,64.0
320,16.0
321,28.0
322,23.0
323,14.0
324,31.0
325,23.0
326,38.0
327,21.0
328,21.0
329,18.0
330,55.0
331,18.0
332,18.0
333,39.0
334,17.0
335,29.0
336,25.0
337,43.0
338,55.0
339,11.0
340,23.0
341,17.0
342,37.0
343,20.0
344,31.0
345,18.0
346,28.0
347,23.0
348,40.0
349,36.0
350,24.0
351,13.0
352,20.0
353,25.0
354,31.0
355,16.0
356,22.0
357,15.0
358,9.0
359,10.0
360,28.0
361,35.0
362,14.0
363,47.0
364,19.0
365,30.0
366,23.0
367,10.0
368,65.0
369,17.0
370,13.0
371,33.0
372,18.0
373,18.0
