Episode,Reward
0,37.0
1,32.0
2,18.0
3,12.0
4,56.0
5,17.0
6,14.0
7,37.0
8,21.0
9,17.0
10,18.0
11,34.0
12,18.0
13,29.0
14,24.0
15,22.0
16,55.0
17,27.0
18,24.0
19,30.0
20,11.0
21,24.0
22,18.0
23,14.0
24,17.0
25,15.0
26,15.0
27,14.0
28,45.0
29,23.0
30,17.0
31,16.0
32,15.0
33,11.0
34,11.0
35,14.0
36,20.0
37,21.0
38,38.0
39,14.0
40,21.0
41,33.0
42,21.0
43,16.0
44,12.0
45,36.0
46,15.0
47,26.0
48,11.0
49,42.0
50,13.0
51,23.0
52,33.0
53,11.0
54,18.0
55,29.0
56,18.0
57,13.0
58,17.0
59,12.0
60,12.0
61,20.0
62,13.0
63,19.0
64,25.0
65,26.0
66,20.0
67,12.0
68,12.0
69,10.0
70,48.0
71,31.0
72,18.0
73,15.0
74,23.0
75,19.0
76,15.0
77,31.0
78,19.0
79,23.0
80,16.0
81,17.0
82,29.0
83,21.0
84,26.0
85,17.0
86,15.0
87,35.0
88,31.0
89,23.0
90,36.0
91,18.0
92,30.0
93,13.0
94,21.0
95,32.0
96,14.0
97,15.0
98,12.0
99,40.0
100,10.0
101,18.0
102,16.0
103,13.0
104,33.0
105,34.0
106,17.0
107,46.0
108,12.0
109,41.0
110,25.0
111,14.0
112,45.0
113,33.0
114,58.0
115,23.0
116,29.0
117,46.0
118,23.0
119,33.0
120,26.0
121,20.0
122,25.0
123,20.0
124,20.0
125,42.0
126,18.0
127,40.0
128,25.0
129,28.0
130,31.0
131,30.0
132,14.0
133,49.0
134,13.0
135,19.0
136,17.0
137,22.0
138,14.0
139,15.0
140,40.0
141,27.0
142,23.0
143,11.0
144,23.0
145,17.0
146,31.0
147,17.0
148,15.0
149,13.0
150,30.0
151,8.0
152,13.0
153,14.0
154,10.0
155,10.0
156,42.0
157,15.0
158,12.0
159,27.0
160,27.0
161,28.0
162,27.0
163,18.0
164,61.0
165,34.0
166,18.0
167,18.0
168,46.0
169,18.0
170,18.0
171,17.0
172,18.0
173,14.0
174,30.0
175,16.0
176,17.0
177,24.0
178,25.0
179,28.0
180,28.0
181,33.0
182,41.0
183,11.0
184,47.0
185,11.0
186,9.0
187,12.0
188,37.0
189,27.0
190,36.0
191,29.0
192,55.0
193,16.0
194,46.0
195,20.0
196,23.0
197,22.0
198,16.0
199,13.0
200,29.0
201,15.0
202,17.0
203,26.0
204,18.0
205,47.0
206,40.0
207,22.0
208,17.0
209,20.0
210,22.0
211,38.0
212,22.0
213,19.0
214,24.0
215,29.0
216,11.0
217,42.0
218,20.0
219,11.0
220,23.0
221,11.0
222,14.0
223,17.0
224,16.0
225,18.0
226,25.0
227,64.0
228,17.0
229,46.0
230,10.0
231,55.0
232,23.0
233,15.0
234,20.0
235,38.0
236,27.0
237,35.0
238,46.0
239,21.0
240,32.0
241,21.0
242,38.0
243,30.0
244,22.0
245,29.0
246,19.0
247,16.0
248,34.0
249,25.0
250,15.0
251,19.0
252,36.0
253,19.0
254,35.0
255,25.0
256,12.0
257,23.0
258,34.0
259,23.0
260,23.0
261,13.0
262,15.0
263,27.0
264,23.0
265,28.0
266,27.0
267,60.0
268,12.0
269,24.0
270,12.0
271,36.0
272,13.0
273,44.0
274,26.0
275,25.0
276,66.0
277,58.0
278,22.0
279,39.0
280,31.0
281,35.0
282,11.0
283,58.0
284,34.0
285,23.0
286,17.0
287,23.0
288,14.0
289,45.0
290,35.0
291,36.0
292,11.0
293,30.0
294,51.0
295,11.0
296,43.0
297,11.0
298,12.0
299,20.0
300,10.0
301,23.0
302,34.0
303,13.0
304,41.0
305,22.0
306,89.0
307,22.0
308,41.0
309,30.0
310,42.0
311,42.0
312,15.0
313,38.0
314,14.0
315,66.0
316,14.0
317,12.0
318,10.0
319,27.0
320,101.0
321,18.0
322,21.0
323,68.0
324,13.0
325,13.0
326,73.0
327,32.0
328,38.0
329,48.0
330,17.0
331,38.0
332,53.0
333,44.0
334,17.0
335,14.0
336,59.0
337,11.0
338,43.0
339,8.0
340,20.0
341,18.0
342,15.0
343,18.0
344,28.0
345,17.0
346,39.0
347,38.0
348,18.0
349,16.0
350,29.0
351,21.0
352,31.0
353,18.0
354,16.0
355,25.0
356,86.0
357,17.0
358,54.0
359,11.0
360,31.0
361,23.0
362,33.0
363,27.0
364,48.0
365,24.0
366,20.0
367,27.0
368,13.0
369,16.0
370,25.0
371,21.0
372,30.0
373,17.0
374,14.0
375,23.0
376,36.0
377,17.0
378,37.0
379,39.0
380,19.0
381,11.0
382,25.0
383,82.0
384,14.0
385,25.0
386,34.0
387,18.0
388,12.0
389,22.0
390,41.0
391,20.0
392,12.0
393,24.0
394,30.0
395,34.0
396,12.0
397,29.0
398,64.0
399,20.0
400,20.0
401,24.0
402,45.0
403,23.0
404,27.0
405,20.0
406,34.0
407,28.0
408,20.0
409,15.0
410,25.0
411,24.0
412,15.0
413,33.0
414,12.0
415,20.0
416,13.0
417,27.0
418,75.0
419,13.0
420,14.0
421,27.0
422,14.0
423,23.0
424,26.0
425,18.0
426,42.0
427,21.0
428,17.0
429,61.0
430,40.0
431,28.0
432,22.0
433,35.0
434,11.0
435,43.0
436,15.0
437,40.0
438,16.0
439,15.0
440,21.0
441,25.0
442,37.0
443,49.0
444,22.0
445,23.0
446,31.0
447,8.0
448,20.0
449,38.0
450,26.0
451,23.0
452,35.0
453,49.0
454,29.0
455,15.0
456,25.0
457,28.0
458,37.0
459,16.0
460,21.0
461,20.0
462,34.0
463,14.0
464,24.0
465,20.0
466,19.0
467,24.0
468,31.0
469,12.0
470,20.0
471,39.0
472,18.0
473,26.0
474,11.0
475,55.0
476,22.0
477,31.0
478,22.0
479,25.0
480,20.0
481,61.0
482,27.0
483,13.0
484,17.0
485,34.0
486,37.0
487,12.0
488,17.0
489,20.0
490,29.0
491,29.0
492,42.0
493,19.0
494,25.0
495,121.0
496,29.0
497,50.0
498,27.0
499,16.0
500,33.0
501,33.0
502,35.0
503,27.0
504,13.0
505,15.0
506,34.0
507,32.0
508,17.0
509,20.0
510,26.0
511,27.0
512,43.0
513,11.0
514,12.0
515,15.0
516,31.0
517,33.0
518,33.0
519,17.0
520,50.0
521,11.0
522,30.0
523,15.0
524,20.0
525,38.0
526,17.0
527,13.0
528,14.0
529,32.0
530,43.0
531,15.0
532,28.0
533,29.0
534,67.0
535,14.0
536,36.0
537,39.0
538,39.0
539,22.0
540,17.0
541,22.0
542,35.0
543,18.0
544,13.0
545,20.0
546,20.0
547,27.0
548,32.0
549,18.0
550,33.0
551,25.0
552,13.0
553,18.0
554,15.0
555,29.0
556,37.0
557,22.0
558,26.0
559,15.0
560,31.0
561,21.0
562,47.0
563,33.0
564,15.0
565,22.0
566,14.0
567,38.0
568,19.0
569,27.0
570,21.0
571,24.0
572,82.0
573,44.0
574,33.0
575,24.0
576,47.0
577,30.0
578,43.0
579,17.0
580,14.0
581,46.0
582,23.0
583,15.0
584,11.0
585,26.0
586,18.0
587,28.0
588,37.0
589,33.0
590,16.0
591,11.0
592,46.0
593,40.0
594,18.0
595,10.0
596,22.0
597,50.0
598,20.0
599,77.0
600,30.0
601,78.0
602,26.0
603,20.0
604,27.0
605,41.0
606,15.0
607,11.0
608,13.0
609,22.0
610,30.0
611,21.0
612,34.0
613,32.0
614,30.0
615,27.0
616,18.0
617,36.0
618,39.0
619,18.0
620,19.0
621,23.0
622,13.0
623,45.0
624,25.0
625,27.0
626,21.0
627,42.0
628,50.0
629,49.0
630,21.0
631,26.0
632,22.0
633,20.0
634,15.0
635,12.0
636,12.0
637,21.0
638,70.0
639,18.0
640,37.0
641,15.0
642,22.0
643,90.0
644,58.0
645,56.0
646,34.0
647,22.0
648,39.0
649,37.0
650,38.0
651,31.0
652,23.0
653,20.0
654,24.0
655,33.0
656,28.0
657,29.0
658,15.0
659,34.0
660,20.0
661,49.0
662,51.0
663,17.0
664,18.0
665,9.0
666,57.0
667,29.0
668,45.0
669,23.0
670,55.0
671,38.0
672,9.0
673,21.0
674,20.0
675,36.0
676,47.0
677,22.0
678,21.0
679,67.0
680,17.0
681,21.0
682,30.0
683,26.0
684,31.0
685,20.0
686,15.0
687,75.0
688,17.0
689,49.0
690,49.0
691,10.0
692,20.0
693,30.0
694,27.0
695,37.0
696,61.0
697,35.0
698,27.0
699,25.0
700,29.0
701,35.0
702,31.0
703,50.0
704,30.0
705,37.0
706,42.0
707,33.0
708,17.0
709,44.0
710,38.0
711,41.0
712,34.0
713,29.0
714,23.0
715,40.0
716,12.0
717,26.0
718,30.0
719,24.0
720,14.0
721,17.0
722,12.0
723,19.0
724,89.0
725,42.0
726,25.0
727,21.0
728,66.0
729,14.0
730,26.0
731,21.0
732,38.0
733,28.0
734,23.0
735,60.0
736,44.0
737,42.0
738,12.0
739,53.0
740,21.0
741,18.0
742,19.0
743,58.0
744,46.0
745,24.0
746,61.0
747,51.0
748,62.0
749,13.0
750,24.0
751,30.0
752,22.0
753,26.0
754,26.0
755,16.0
756,19.0
757,34.0
758,37.0
759,31.0
760,49.0
761,48.0
762,12.0
763,48.0
764,13.0
765,20.0
766,49.0
767,26.0
768,39.0
769,23.0
770,24.0
771,24.0
772,58.0
773,19.0
774,28.0
775,31.0
776,61.0
777,41.0
778,18.0
779,16.0
780,36.0
781,29.0
782,19.0
783,60.0
784,21.0
785,29.0
786,33.0
787,47.0
788,33.0
789,35.0
790,13.0
791,28.0
792,42.0
793,51.0
794,19.0
795,29.0
796,64.0
797,39.0
798,24.0
799,59.0
800,57.0
801,21.0
802,20.0
803,55.0
804,49.0
805,29.0
806,26.0
807,22.0
808,28.0
809,29.0
810,29.0
811,22.0
812,27.0
813,25.0
814,56.0
815,17.0
816,14.0
817,37.0
818,26.0
819,40.0
820,43.0
821,87.0
822,34.0
823,22.0
824,23.0
825,15.0
826,18.0
827,39.0
828,25.0
829,51.0
830,17.0
831,20.0
832,25.0
833,32.0
834,33.0
835,27.0
836,25.0
837,39.0
838,22.0
839,30.0
840,39.0
841,33.0
842,14.0
843,35.0
844,22.0
845,29.0
846,39.0
847,13.0
848,30.0
849,37.0
850,23.0
851,12.0
852,40.0
853,34.0
854,54.0
855,21.0
856,14.0
857,50.0
858,38.0
859,30.0
860,37.0
861,19.0
862,29.0
863,23.0
864,16.0
865,35.0
866,24.0
867,24.0
868,49.0
869,32.0
870,18.0
871,34.0
872,32.0
873,23.0
874,132.0
875,11.0
876,38.0
877,12.0
878,23.0
879,29.0
880,56.0
881,35.0
882,24.0
883,13.0
884,45.0
885,30.0
886,32.0
887,48.0
888,38.0
889,24.0
890,46.0
891,18.0
892,17.0
893,20.0
894,50.0
895,23.0
896,26.0
897,43.0
898,20.0
899,52.0
900,39.0
901,28.0
902,56.0
903,28.0
904,22.0
905,51.0
906,59.0
907,57.0
908,20.0
909,26.0
910,34.0
911,47.0
912,17.0
913,45.0
914,14.0
915,42.0
916,35.0
917,15.0
918,19.0
919,69.0
920,27.0
921,24.0
922,26.0
923,27.0
924,35.0
925,39.0
926,58.0
927,53.0
928,22.0
929,58.0
930,18.0
931,39.0
932,23.0
933,33.0
934,21.0
935,28.0
936,23.0
937,19.0
938,26.0
939,22.0
940,17.0
941,22.0
942,12.0
943,39.0
944,18.0
945,67.0
