Episode,Reward
0,19.0
1,17.0
2,16.0
3,20.0
4,14.0
5,26.0
6,12.0
7,12.0
8,9.0
9,13.0
10,16.0
11,14.0
12,16.0
13,25.0
14,13.0
15,12.0
16,17.0
17,18.0
18,13.0
19,23.0
20,11.0
21,19.0
22,18.0
23,18.0
24,10.0
25,14.0
26,10.0
27,15.0
28,13.0
29,15.0
30,13.0
31,16.0
32,13.0
33,18.0
34,11.0
35,13.0
36,10.0
37,14.0
38,13.0
39,16.0
40,16.0
41,17.0
42,11.0
43,12.0
44,8.0
45,20.0
46,12.0
47,10.0
48,9.0
49,10.0
50,12.0
51,10.0
52,10.0
53,11.0
54,10.0
55,9.0
56,8.0
57,11.0
58,15.0
59,13.0
60,10.0
61,12.0
62,11.0
63,10.0
64,15.0
65,11.0
66,11.0
67,11.0
68,11.0
69,11.0
70,13.0
71,9.0
72,12.0
73,12.0
74,13.0
75,10.0
76,11.0
77,10.0
78,15.0
79,15.0
80,10.0
81,10.0
82,11.0
83,16.0
84,10.0
85,12.0
86,10.0
87,10.0
88,10.0
89,9.0
90,10.0
91,9.0
92,11.0
93,9.0
94,8.0
95,15.0
96,9.0
97,9.0
98,12.0
99,13.0
100,11.0
101,11.0
102,11.0
103,11.0
104,14.0
105,14.0
106,9.0
107,18.0
108,11.0
109,10.0
110,13.0
111,10.0
112,11.0
113,12.0
114,10.0
115,12.0
116,17.0
117,12.0
118,11.0
119,12.0
120,12.0
121,21.0
122,15.0
123,15.0
124,12.0
125,12.0
126,12.0
127,9.0
128,11.0
129,10.0
130,13.0
131,13.0
132,14.0
133,11.0
134,11.0
135,12.0
136,11.0
137,18.0
138,13.0
139,10.0
140,11.0
141,15.0
142,13.0
143,11.0
144,14.0
145,17.0
146,12.0
147,15.0
148,16.0
149,14.0
150,16.0
151,11.0
152,17.0
153,13.0
154,15.0
155,20.0
156,13.0
157,14.0
158,18.0
159,19.0
160,23.0
161,16.0
162,17.0
163,26.0
164,20.0
165,19.0
166,22.0
167,22.0
168,18.0
169,23.0
170,20.0
171,17.0
172,22.0
173,30.0
174,25.0
175,26.0
176,31.0
177,28.0
178,43.0
179,108.0
180,129.0
181,126.0
182,161.0
183,150.0
184,154.0
185,155.0
186,195.0
187,234.0
188,285.0
189,203.0
190,282.0
191,258.0
192,154.0
193,263.0
194,162.0
195,174.0
196,187.0
197,205.0
198,165.0
199,383.0
200,196.0
201,136.0
202,148.0
203,197.0
204,158.0
205,166.0
206,136.0
207,146.0
208,133.0
209,133.0
210,169.0
211,143.0
212,159.0
213,129.0
214,154.0
215,127.0
216,132.0
217,148.0
218,128.0
219,132.0
220,141.0
221,154.0
222,126.0
223,142.0
224,129.0
225,145.0
226,126.0
227,128.0
228,144.0
229,123.0
230,120.0
231,134.0
232,133.0
233,146.0
234,127.0
235,146.0
236,128.0
237,126.0
238,124.0
239,148.0
240,133.0
241,135.0
242,147.0
243,126.0
244,139.0
245,144.0
246,151.0
247,166.0
248,129.0
249,160.0
250,140.0
251,140.0
252,137.0
253,150.0
254,146.0
255,152.0
256,139.0
257,150.0
258,154.0
259,154.0
260,157.0
261,164.0
262,151.0
263,148.0
264,136.0
265,128.0
266,148.0
267,174.0
268,157.0
269,137.0
270,132.0
271,150.0
272,139.0
273,126.0
274,130.0
275,150.0
276,166.0
277,155.0
278,134.0
279,133.0
280,129.0
281,136.0
282,156.0
283,143.0
284,139.0
285,136.0
286,147.0
287,121.0
288,125.0
289,129.0
290,151.0
291,137.0
292,122.0
293,122.0
294,139.0
295,118.0
296,153.0
297,135.0
298,139.0
299,125.0
300,138.0
301,155.0
302,130.0
303,156.0
304,141.0
305,141.0
306,157.0
307,142.0
308,144.0
309,145.0
310,119.0
311,132.0
312,123.0
313,153.0
314,149.0
315,133.0
316,161.0
317,165.0
318,163.0
319,188.0
320,128.0
321,148.0
322,168.0
323,152.0
324,184.0
325,119.0
326,145.0
327,189.0
328,199.0
329,146.0
330,166.0
331,160.0
332,223.0
333,151.0
334,222.0
335,151.0
336,162.0
337,134.0
338,212.0
339,171.0
340,216.0
341,130.0
342,244.0
343,161.0
344,135.0
345,166.0
346,144.0
347,168.0
348,213.0
349,154.0
350,148.0
351,202.0
352,191.0
353,227.0
354,171.0
355,174.0
356,150.0
357,219.0
358,168.0
359,196.0
360,175.0
361,194.0
362,138.0
363,125.0
364,144.0
365,323.0
366,188.0
367,208.0
368,156.0
369,125.0
370,127.0
371,140.0
372,133.0
373,115.0
374,142.0
375,114.0
376,141.0
377,93.0
378,103.0
379,131.0
380,109.0
381,111.0
382,201.0
383,161.0
384,226.0
385,181.0
386,117.0
387,105.0
388,217.0
389,137.0
390,131.0
391,229.0
392,95.0
393,346.0
394,181.0
395,250.0
396,274.0
397,140.0
398,149.0
399,279.0
