Episode,Reward
0,24.0
1,34.0
2,19.0
3,17.0
4,10.0
5,17.0
6,21.0
7,20.0
8,28.0
9,21.0
10,23.0
11,19.0
12,25.0
13,32.0
14,12.0
15,13.0
16,11.0
17,27.0
18,16.0
19,15.0
20,22.0
21,17.0
22,9.0
23,12.0
24,37.0
25,26.0
26,16.0
27,43.0
28,32.0
29,13.0
30,23.0
31,24.0
32,25.0
33,27.0
34,22.0
35,14.0
36,15.0
37,13.0
38,40.0
39,34.0
40,10.0
41,32.0
42,16.0
43,26.0
44,21.0
45,19.0
46,19.0
47,73.0
48,10.0
49,17.0
50,33.0
51,28.0
52,36.0
53,26.0
54,15.0
55,16.0
56,9.0
57,25.0
58,9.0
59,15.0
60,10.0
61,42.0
62,13.0
63,35.0
64,27.0
65,51.0
66,15.0
67,39.0
68,14.0
69,29.0
70,10.0
71,11.0
72,10.0
73,13.0
74,36.0
75,13.0
76,35.0
77,43.0
78,31.0
79,21.0
80,14.0
81,13.0
82,32.0
83,13.0
84,17.0
85,21.0
86,22.0
87,40.0
88,16.0
89,11.0
90,20.0
91,11.0
92,15.0
93,26.0
94,11.0
95,13.0
96,27.0
97,17.0
98,14.0
99,19.0
100,11.0
101,13.0
102,27.0
103,15.0
104,11.0
105,22.0
106,33.0
107,20.0
108,13.0
109,10.0
110,20.0
111,23.0
112,50.0
113,23.0
114,18.0
115,17.0
116,30.0
117,19.0
118,13.0
119,16.0
120,18.0
121,31.0
122,33.0
123,18.0
124,28.0
125,44.0
126,11.0
127,21.0
128,20.0
129,11.0
130,9.0
131,30.0
132,15.0
133,14.0
134,14.0
135,36.0
136,15.0
137,12.0
138,10.0
139,22.0
140,35.0
141,22.0
142,17.0
143,23.0
144,14.0
145,12.0
146,13.0
147,19.0
148,22.0
149,16.0
150,43.0
151,23.0
152,20.0
153,49.0
154,27.0
155,24.0
156,25.0
157,45.0
158,21.0
159,16.0
160,17.0
161,42.0
162,11.0
163,15.0
164,14.0
165,34.0
166,18.0
167,18.0
168,18.0
169,15.0
170,17.0
171,17.0
172,21.0
173,17.0
174,17.0
175,36.0
176,28.0
177,11.0
178,21.0
179,36.0
180,36.0
181,17.0
182,26.0
183,32.0
184,13.0
185,13.0
186,11.0
187,19.0
188,22.0
189,13.0
190,42.0
191,33.0
192,21.0
193,14.0
194,60.0
195,30.0
196,45.0
197,9.0
198,23.0
199,31.0
200,12.0
201,19.0
202,12.0
203,13.0
204,23.0
205,16.0
206,13.0
207,13.0
208,21.0
209,15.0
210,17.0
211,15.0
212,16.0
213,48.0
214,16.0
215,24.0
216,55.0
217,12.0
218,20.0
219,20.0
220,18.0
221,14.0
222,10.0
223,10.0
224,42.0
225,11.0
