Episode,Reward
0,13.0
1,32.0
2,17.0
3,30.0
4,23.0
5,9.0
6,25.0
7,16.0
8,11.0
9,20.0
10,21.0
11,60.0
12,40.0
13,32.0
14,25.0
15,14.0
16,24.0
17,24.0
18,29.0
19,24.0
20,31.0
21,17.0
22,10.0
23,28.0
24,19.0
25,15.0
26,17.0
27,81.0
28,28.0
29,12.0
30,40.0
31,26.0
32,41.0
33,22.0
34,13.0
35,12.0
36,20.0
37,22.0
38,16.0
39,17.0
40,22.0
41,19.0
42,9.0
43,27.0
44,19.0
45,34.0
46,20.0
47,19.0
48,28.0
49,12.0
50,12.0
51,52.0
52,31.0
53,11.0
54,13.0
55,16.0
56,28.0
57,20.0
58,17.0
59,40.0
60,12.0
61,13.0
62,11.0
63,11.0
64,16.0
65,12.0
66,18.0
67,42.0
68,22.0
69,15.0
70,17.0
71,17.0
72,36.0
73,13.0
74,26.0
75,12.0
76,19.0
77,35.0
78,30.0
79,10.0
80,18.0
81,15.0
82,29.0
83,17.0
84,21.0
85,16.0
86,33.0
87,18.0
88,32.0
89,12.0
90,19.0
91,17.0
92,21.0
93,30.0
94,23.0
95,20.0
96,13.0
97,24.0
98,16.0
99,16.0
100,14.0
101,23.0
102,30.0
103,25.0
104,11.0
105,33.0
106,21.0
107,48.0
108,13.0
109,19.0
110,10.0
111,30.0
112,18.0
113,19.0
114,23.0
115,16.0
116,24.0
117,14.0
118,18.0
119,19.0
120,13.0
121,49.0
122,42.0
123,15.0
124,11.0
125,16.0
126,15.0
127,12.0
128,48.0
129,30.0
130,38.0
131,46.0
132,24.0
133,20.0
134,18.0
135,50.0
136,13.0
137,22.0
138,23.0
139,21.0
140,26.0
141,33.0
142,23.0
143,15.0
144,36.0
145,19.0
146,16.0
147,32.0
148,32.0
149,20.0
150,10.0
151,10.0
152,11.0
153,15.0
154,52.0
155,18.0
156,12.0
157,24.0
158,23.0
159,18.0
160,18.0
161,26.0
162,20.0
163,35.0
164,14.0
165,19.0
166,13.0
167,13.0
168,11.0
169,32.0
170,16.0
171,13.0
172,24.0
173,21.0
174,27.0
175,27.0
176,26.0
177,17.0
178,20.0
179,34.0
180,33.0
181,11.0
182,12.0
183,34.0
184,15.0
185,15.0
186,10.0
187,14.0
188,15.0
189,14.0
190,20.0
191,31.0
192,11.0
193,28.0
194,17.0
195,12.0
196,18.0
197,27.0
198,13.0
199,18.0
200,18.0
201,15.0
202,16.0
203,14.0
204,18.0
205,18.0
206,32.0
207,20.0
208,32.0
209,10.0
210,15.0
211,25.0
212,26.0
213,20.0
214,27.0
215,18.0
216,16.0
217,14.0
218,36.0
219,28.0
