Episode,Reward
0,27.0
1,23.0
2,14.0
3,13.0
4,16.0
5,21.0
6,20.0
7,11.0
8,34.0
9,12.0
10,12.0
11,9.0
12,17.0
13,10.0
14,26.0
15,17.0
16,14.0
17,17.0
18,19.0
19,22.0
20,11.0
21,15.0
22,11.0
23,12.0
24,15.0
25,12.0
26,18.0
27,16.0
28,17.0
29,11.0
30,11.0
31,14.0
32,15.0
33,10.0
34,11.0
35,11.0
36,9.0
37,10.0
38,9.0
39,10.0
40,13.0
41,13.0
42,11.0
43,14.0
44,10.0
45,12.0
46,11.0
47,13.0
48,12.0
49,12.0
50,12.0
51,27.0
52,9.0
53,15.0
54,12.0
55,9.0
56,23.0
57,13.0
58,19.0
59,11.0
60,13.0
61,12.0
62,9.0
63,12.0
64,11.0
65,11.0
66,11.0
67,11.0
68,13.0
69,10.0
70,11.0
71,11.0
72,14.0
73,14.0
74,13.0
75,25.0
76,13.0
77,10.0
78,19.0
79,10.0
80,10.0
81,14.0
82,15.0
83,19.0
84,16.0
85,21.0
86,18.0
87,16.0
88,14.0
89,21.0
90,18.0
91,15.0
92,18.0
93,21.0
94,39.0
95,24.0
96,24.0
97,20.0
98,17.0
99,26.0
100,30.0
101,18.0
102,30.0
103,40.0
104,27.0
105,27.0
106,27.0
107,38.0
108,22.0
109,24.0
110,30.0
111,21.0
112,26.0
113,101.0
114,30.0
115,82.0
116,38.0
117,38.0
118,29.0
119,36.0
120,73.0
121,43.0
122,114.0
123,117.0
124,130.0
125,197.0
126,171.0
127,224.0
128,176.0
129,255.0
130,325.0
131,213.0
132,120.0
133,125.0
134,98.0
135,109.0
136,92.0
137,96.0
138,94.0
139,78.0
140,70.0
141,78.0
142,71.0
143,78.0
144,68.0
145,65.0
146,90.0
147,67.0
148,77.0
149,78.0
150,77.0
151,57.0
152,71.0
153,67.0
154,60.0
155,82.0
156,72.0
157,63.0
158,71.0
159,92.0
160,68.0
161,93.0
162,76.0
163,102.0
164,86.0
165,81.0
166,83.0
167,117.0
168,125.0
169,102.0
170,113.0
171,336.0
172,205.0
173,206.0
174,203.0
175,189.0
176,166.0
177,149.0
178,147.0
179,145.0
180,142.0
181,143.0
182,132.0
183,144.0
184,137.0
185,142.0
186,148.0
187,128.0
188,145.0
189,125.0
190,132.0
191,125.0
192,124.0
193,124.0
194,132.0
195,127.0
196,138.0
197,129.0
198,135.0
199,136.0
200,131.0
201,127.0
202,126.0
203,133.0
204,127.0
205,144.0
206,127.0
207,161.0
208,133.0
209,137.0
210,133.0
211,143.0
212,140.0
213,130.0
214,125.0
215,143.0
216,133.0
217,136.0
218,135.0
219,136.0
220,134.0
221,127.0
222,129.0
223,134.0
224,130.0
225,133.0
226,127.0
227,122.0
228,140.0
229,140.0
230,132.0
231,138.0
232,134.0
233,127.0
234,135.0
235,154.0
236,145.0
237,147.0
238,139.0
239,147.0
240,134.0
241,135.0
242,145.0
243,135.0
244,132.0
245,139.0
246,156.0
247,140.0
248,132.0
249,146.0
250,146.0
251,132.0
252,134.0
253,136.0
254,133.0
255,142.0
256,139.0
257,146.0
258,142.0
259,145.0
260,155.0
261,136.0
262,149.0
263,160.0
264,150.0
265,155.0
266,154.0
267,144.0
268,156.0
269,148.0
270,147.0
271,145.0
272,150.0
273,159.0
274,137.0
275,144.0
276,153.0
277,141.0
278,148.0
