Episode,Reward
0,21.0
1,10.0
2,12.0
3,32.0
4,12.0
5,14.0
6,11.0
7,24.0
8,21.0
9,42.0
10,21.0
11,13.0
12,35.0
13,14.0
14,32.0
15,15.0
16,23.0
17,26.0
18,34.0
19,20.0
20,27.0
21,34.0
22,11.0
23,19.0
24,12.0
25,12.0
26,17.0
27,28.0
28,19.0
29,24.0
30,10.0
31,16.0
32,26.0
33,12.0
34,22.0
35,18.0
36,19.0
37,17.0
38,21.0
39,20.0
40,26.0
41,17.0
42,36.0
43,17.0
44,30.0
45,55.0
46,17.0
47,18.0
48,26.0
49,14.0
50,11.0
51,19.0
52,63.0
53,32.0
54,25.0
55,23.0
56,13.0
57,33.0
58,21.0
59,13.0
60,21.0
61,25.0
62,9.0
63,20.0
64,16.0
65,30.0
66,14.0
67,28.0
68,29.0
69,34.0
70,37.0
71,32.0
72,10.0
73,42.0
74,12.0
75,19.0
76,12.0
77,12.0
78,23.0
79,38.0
80,15.0
81,15.0
82,16.0
83,14.0
84,11.0
85,24.0
86,27.0
87,22.0
88,12.0
89,9.0
90,31.0
91,34.0
92,10.0
93,32.0
94,21.0
95,16.0
96,12.0
97,15.0
98,60.0
99,42.0
100,18.0
101,13.0
102,42.0
103,15.0
104,16.0
105,12.0
106,26.0
107,20.0
108,30.0
109,43.0
110,12.0
111,17.0
112,14.0
113,24.0
114,27.0
115,14.0
116,16.0
117,55.0
118,31.0
119,42.0
120,14.0
121,16.0
122,41.0
123,12.0
124,28.0
125,16.0
126,13.0
127,19.0
128,11.0
129,30.0
130,13.0
131,18.0
132,17.0
133,22.0
134,15.0
135,28.0
136,28.0
137,16.0
138,10.0
139,17.0
140,19.0
141,28.0
142,40.0
143,16.0
144,35.0
145,14.0
146,22.0
147,24.0
148,20.0
149,18.0
150,15.0
151,19.0
152,13.0
153,23.0
154,35.0
155,12.0
156,12.0
157,28.0
158,11.0
159,18.0
160,14.0
161,15.0
162,17.0
163,13.0
164,17.0
165,19.0
166,15.0
167,30.0
168,14.0
169,8.0
170,13.0
171,12.0
172,25.0
173,13.0
174,15.0
175,35.0
176,14.0
177,11.0
178,48.0
179,25.0
180,20.0
181,17.0
182,12.0
183,56.0
184,46.0
185,22.0
186,35.0
187,17.0
188,12.0
189,21.0
190,30.0
191,35.0
192,27.0
193,14.0
194,21.0
195,15.0
196,21.0
197,24.0
198,51.0
199,24.0
200,26.0
201,17.0
202,14.0
203,27.0
204,12.0
205,11.0
206,29.0
207,26.0
208,19.0
209,14.0
210,15.0
211,10.0
212,34.0
213,29.0
214,36.0
215,27.0
216,11.0
217,21.0
218,18.0
219,31.0
220,18.0
221,43.0
222,18.0
223,43.0
224,26.0
225,21.0
226,23.0
227,53.0
228,29.0
229,30.0
230,19.0
231,16.0
232,10.0
233,10.0
234,17.0
235,16.0
236,20.0
237,14.0
238,11.0
239,15.0
240,35.0
241,29.0
242,28.0
243,27.0
244,20.0
245,25.0
246,15.0
247,11.0
248,23.0
249,12.0
250,29.0
251,11.0
252,10.0
253,31.0
254,22.0
255,23.0
256,37.0
257,51.0
258,22.0
259,27.0
260,37.0
261,23.0
262,23.0
263,41.0
264,36.0
265,45.0
266,22.0
267,17.0
268,15.0
269,40.0
270,22.0
271,15.0
272,23.0
273,9.0
274,19.0
275,34.0
276,23.0
277,24.0
278,8.0
279,60.0
280,24.0
281,24.0
282,11.0
283,11.0
284,48.0
285,11.0
286,29.0
287,13.0
288,19.0
289,24.0
290,61.0
291,36.0
292,26.0
293,15.0
294,16.0
295,15.0
296,12.0
297,85.0
298,10.0
299,31.0
300,26.0
301,25.0
302,16.0
303,40.0
304,27.0
305,20.0
306,24.0
307,13.0
308,15.0
309,53.0
310,25.0
311,41.0
312,9.0
313,17.0
314,24.0
315,22.0
316,17.0
317,21.0
318,20.0
319,27.0
320,14.0
321,46.0
322,41.0
323,15.0
324,29.0
325,22.0
326,26.0
327,21.0
328,12.0
329,17.0
330,50.0
331,29.0
332,12.0
333,26.0
334,9.0
335,43.0
336,16.0
337,30.0
338,10.0
339,26.0
340,16.0
341,20.0
342,16.0
343,17.0
344,11.0
345,37.0
346,44.0
347,18.0
348,18.0
349,34.0
350,38.0
351,13.0
352,24.0
353,18.0
354,31.0
355,17.0
356,31.0
357,17.0
358,22.0
359,11.0
360,21.0
361,18.0
362,24.0
363,34.0
364,36.0
365,35.0
366,22.0
367,32.0
368,25.0
369,16.0
370,10.0
371,24.0
372,40.0
373,41.0
374,15.0
375,13.0
376,30.0
377,13.0
378,32.0
379,24.0
